name,correct,predicted,match
letra_1,3,3,True
letra_2,4,4,True
letra_3,5,5,True
letra_4,7,7,True
letra_5,3,3,True
letra_6,9,9,True
letra_7,3,3,True
letra_8,9,9,True
letra_9,4,4,True
letra_10,0,-1,False
letra_11,4,4,True
letra_12,0,-1,False
letra_13,3,3,True
letra_14,0,-1,False
letra_15,4,4,True
letra_16,9,9,True
letra_17,3,3,True
letra_18,8,8,True
letra_19,9,9,True
letra_20,3,3,True
letra_21,4,4,True
letra_22,8,8,True
letra_23,7,7,True
letra_24,8,8,True
letra_25,4,4,True
letra_26,3,3,True
letra_27,6,6,True
letra_28,8,8,True
letra_29,7,7,True
letra_30,5,5,True
letra_31,8,8,True
letra_32,2,2,True
letra_33,9,9,True
letra_34,8,8,True
letra_35,6,6,True
letra_36,5,5,True
letra_37,7,7,True
letra_38,4,4,True
letra_39,2,2,True
letra_40,6,6,True
letra_41,7,7,True
letra_42,5,5,True
letra_43,8,8,True
letra_44,7,7,True
letra_45,3,3,True
letra_46,1,1,True
letra_47,7,7,True
letra_48,1,1,True
letra_49,7,7,True
letra_50,3,3,True
letra_51,4,4,True
letra_52,8,8,True
letra_53,5,5,True
letra_54,8,8,True
letra_55,4,4,True
letra_56,3,3,True
letra_57,1,1,True
letra_58,6,6,True
letra_59,5,5,True
letra_60,8,8,True
letra_61,7,-1,False
letra_62,6,6,True
letra_63,4,4,True
letra_64,3,3,True
letra_65,8,8,True
letra_66,7,7,True
letra_67,5,5,True
letra_68,4,4,True
letra_69,3,3,True
letra_70,7,7,True
letra_71,8,8,True
letra_72,1,1,True
letra_73,6,6,True
letra_74,5,5,True
letra_75,8,8,True
letra_76,1,1,True
letra_77,9,9,True
letra_78,6,6,True
letra_79,3,3,True
letra_80,7,7,True
letra_81,4,4,True
letra_82,3,3,True
letra_83,8,8,True
letra_84,1,1,True
letra_85,5,5,True
letra_86,8,8,True
letra_87,1,1,True
letra_88,6,6,True
letra_89,3,3,True
letra_90,5,5,True
letra_91,8,8,True
letra_92,7,7,True
letra_93,4,4,True
letra_94,3,3,True
letra_95,6,6,True
letra_96,8,8,True
letra_97,7,-1,False
letra_98,5,5,True
letra_99,6,6,True
letra_100,1,1,True
letra_101,3,3,True
letra_102,8,8,True
letra_103,7,7,True
letra_104,4,4,True
letra_105,6,6,True
letra_106,5,5,True
letra_107,6,6,True
letra_108,5,5,True
letra_109,8,8,True
letra_110,7,7,True
letra_111,4,4,True
letra_112,1,1,True
letra_113,6,6,True
letra_114,7,-1,False
letra_115,6,6,True
letra_116,7,7,True
letra_117,3,3,True
letra_118,4,4,True
letra_119,6,6,True
letra_120,7,7,True
letra_121,5,5,True
letra_122,6,6,True
letra_123,5,5,True
letra_124,1,1,True
letra_125,2,2,True
letra_126,3,3,True
letra_127,4,4,True
letra_128,5,5,True
letra_129,6,6,True
letra_130,7,7,True
letra_131,1,1,True
letra_132,2,2,True
letra_133,3,3,True
letra_134,3,3,True
letra_135,8,8,True
letra_136,4,4,True
letra_137,9,9,True
letra_138,4,4,True
letra_139,5,5,True
letra_140,8,8,True
letra_141,9,9,True
letra_142,3,3,True
letra_143,7,7,True
letra_144,4,4,True
letra_145,9,9,True
letra_146,8,8,True
letra_147,4,4,True
letra_148,7,-1,False
letra_149,9,9,True
letra_150,3,3,True
letra_151,2,2,True
letra_152,9,9,True
letra_153,8,8,True
letra_154,4,4,True
letra_155,3,3,True
letra_156,7,7,True
letra_157,5,5,True
letra_158,8,8,True
letra_159,3,3,True
letra_160,4,4,True
letra_161,7,7,True
letra_162,8,8,True
letra_163,9,9,True
letra_164,8,8,True
letra_165,7,7,True
letra_166,4,4,True
letra_167,8,8,True
letra_168,3,3,True
letra_169,4,4,True
letra_170,8,8,True
letra_171,7,7,True
letra_172,5,5,True
letra_173,9,9,True
letra_174,8,8,True
letra_175,3,3,True
letra_176,8,8,True
letra_177,7,7,True
letra_178,4,4,True
letra_179,9,9,True
letra_180,8,8,True
letra_181,5,5,True
letra_182,3,3,True
letra_183,4,4,True
letra_184,7,-1,False
letra_185,5,5,True
letra_186,8,8,True
letra_187,3,3,True
letra_188,7,7,True
letra_189,4,4,True
letra_190,5,5,True
letra_191,9,9,True
letra_192,8,8,True
letra_193,8,8,True
letra_194,3,3,True
letra_195,9,9,True
letra_196,4,4,True
letra_197,2,2,True
letra_198,8,8,True
letra_199,7,7,True
letra_200,4,4,True
letra_201,3,3,True
letra_202,9,9,True
letra_203,8,8,True
letra_204,5,5,True
letra_205,7,7,True
letra_206,3,3,True
letra_207,2,2,True
letra_208,9,9,True
letra_209,q,q,True
letra_210,8,8,True
letra_211,3,3,True
letra_212,2,-1,False
letra_213,9,-1,False
letra_214,8,8,True
letra_215,4,-1,False
letra_216,5,5,True
letra_217,3,3,True
letra_218,8,8,True
letra_219,4,-1,False
letra_220,5,5,True
letra_221,7,-1,False
letra_222,9,-1,False
letra_223,5,5,True
letra_224,4,-1,False
letra_225,3,3,True
letra_226,2,2,True
letra_227,7,-1,False
letra_228,2,-1,False
letra_229,3,3,True
letra_230,4,-1,False
letra_231,5,5,True
letra_232,6,6,True
letra_233,7,-1,False
letra_234,8,8,True
letra_235,9,9,True
letra_236,0,-1,False
letra_237,0,-1,False
letra_238,9,9,True
letra_239,8,8,True
letra_240,7,7,True
letra_241,6,6,True
letra_242,5,5,True
letra_243,4,4,True
letra_244,3,3,True
letra_245,3,3,True
letra_246,4,4,True
letra_247,9,9,True
letra_248,3,3,True
letra_249,8,8,True
letra_250,7,7,True
letra_251,9,9,True
letra_252,8,8,True
